image_id,caption,model_id,count
2311, a woman sitting on the ground in the ruins of a chapel,-1,2
2311, facing to the right side of the screen,-1,2
2311, the red cape of fur trium,-1,2
3036, a small girl holding a pink suitcase in both hands looks down shyly at the entrance,-1,2
3037, holding an open fan in the right hand,-1,2
3038, woman facing to the right of the screen,-1,2
3042, a giant spirit's red arm on the right side of the woman,-1,2
3043, woman sitting on a red ball,-1,2
3045, woman lying on a chaise lounge,-1,2
3049, a rabbit with brown fur on the left and a cat with pink fur on the right,-1,2
3052, a woman holding a tree branch with a hanging lantern in her left hand,-1,2
3056, on the left is a cheerful-looking woman with brown hair and on the right is a man dressed as a woman with purple hair and an unhappy expression,-1,2
3058, girl with a dog skull face,-1,2
